Student #,Student First Name,Student Last Name,Grade,Gender,Homeroom,Date of Birth,Parent First Name,Parent Last Name,Parent Phone Number,Parent Email,Emergency Contact First Name,Emergency Contact Last Name,Emergency Contact Phone Number,Shirt Size,Short Size,Date
1001, Rowan,Rose,6,M,S34,2010-07-11,Brian,Rose,(671)-192-8961,brian.rose@gmail.com,Veronica,Odom,(134)-174-7864,Youth Large,Youth Large,08/29/2024 08:24:18 AM
1002, Skyler,Bright,3,M,S59,2014-11-29,Michael,Bright,(211)-706-9661,michael.bright@yahoo.com,David,Johnson,(589)-535-1213,Youth Medium,Youth Medium,08/29/2024 08:24:18 AM
1003, Marley,Williams,6,F,S2,2011-12-15,Natalie,Williams,(259)-264-4555,natalie.williams@gmail.com,Shawn,Oconnor,(957)-950-1103,Adult Medium,Adult Medium,09/03/2024 08:44:48 AM
1004, River,Irwin,8,M,S45,2011-07-13,Barbara,Irwin,(517)-629-3505,barbara.irwin@yahoo.com,Juan,Davis,(345)-804-8076,Adult Medium,Adult Medium,09/05/2024 11:17:16 AM
1005, Lennon,Taylor,6,M,S8,2012-07-22,James,Taylor,(533)-907-4631,james.taylor@hotmail.com,Ashley,White,(600)-306-3851,Youth Large,Youth Large,09/05/2024 11:17:25 AM
1006, Tatum,Hardy,4,M,S56,2011-07-31,Teresa,Hardy,(809)-451-2357,teresa.hardy@hotmail.com,Ryan,Adams,(947)-800-5132,Adult Medium,Adult Medium,09/06/2024 02:28:58 PM
1007, Morgan,Davis,7,M,S26,2011-01-24,Dean,Davis,(661)-619-7948,dean.davis@hotmail.com,Mitchell,Townsend,(425)-463-2090,Adult Small,Adult Small,09/10/2024 03:31:32 PM
1008, Riley,Higgins,5,M,S54,2013-04-23,Kevin,Higgins,(374)-965-9762,kevin.higgins@gmail.com,Stacey,Moore,(360)-554-5317,Youth Medium,Youth Medium,09/11/2024 01:32:08 PM
1009, Dakota,Bradshaw,3,M,S59,2014-09-07,Nicholas,Bradshaw,(276)-998-8845,nicholas.bradshaw@yahoo.com,Jennifer,West,(542)-444-4403,Youth Medium,Youth Medium,09/11/2024 01:32:08 PM
1010, Morgan,Flowers,4,F,S51,2011-03-07,Zachary,Flowers,(699)-233-3978,zachary.flowers@hotmail.com,Terri,Mckenzie,(167)-809-8152,Youth Large,Youth Large,09/12/2024 09:46:11 AM
1011, Morgan,Bell,4,M,S52,2013-04-29,Andrew,Bell,(183)-489-1900,andrew.bell@yahoo.com,Carlos,Craig,(329)-905-9981,Youth Large,Youth Large,09/12/2024 09:51:00 AM
1012, Riley,Green,7,M,S43,2010-01-12,Rebecca,Green,(440)-222-3686,rebecca.green@gmail.com,Alexandra,Larson,(931)-826-8674,Adult Small,Adult Small,09/12/2024 09:52:22 AM
1013, Marley,Hammond,8,F,S10,2012-01-16,Lori,Hammond,(979)-568-9356,lori.hammond@yahoo.com,John,Schmidt,(189)-322-5909,Adult Medium,Adult Medium,09/12/2024 09:52:22 AM
1014, Morgan,Davis,4,F,S52,2010-09-27,Benjamin,Davis,(849)-234-7801,benjamin.davis@hotmail.com,Sherry,Torres,(849)-181-4022,Youth Small,Youth Small,09/12/2024 09:52:22 AM
