Date,Date of Birth,Student First Name,Student Last Name,Grade,Parent Phone Number,Parent First Name,Parent Last Name,Parent Email,Emergency Contact Phone Number,Emergency Contact First Name,Emergency Contact Last Name,Shirt Size,Short Size
02/21/2025 11:13:50 AM,2013-04-29, Riley,Adams,5, (361) 889-8429,Jessica,Clark, jessica.clark@mail.com, (140) 685-5223,Donald,Martinez,Youth Medium,Youth Medium
02/21/2025 11:15:00 AM,2010-01-12, Jordan,Bailey,3, (911) 500-9414,Patricia,White, patricia.white@mail.com, (909) 202-9067,Sarah,Jackson,Adult Medium,Adult Medium
02/24/2025 10:50:27 AM,2012-01-16, Avery,Bennett,7, (990) 955-3049,George,Gonzalez, george.gonzalez@example.com, (836) 720-2014,Barbara,Anderson,Youth Large,Youth Large
02/25/2025 09:39:49 AM,2010-09-27, Taylor,Brooks,3, (668) 743-3891,Mary,Garcia, mary.garcia@example.com, (729) 258-3766,Daniel,Hernandez,Youth Medium,Youth Medium
02/25/2025 09:39:56 AM,2012-12-16, Morgan,Campbell,2, (332) 723-2461,John,Anderson, john.anderson@mail.com, (935) 395-1762,Dorothy,Brown,Youth Medium,Youth Medium
02/26/2025 04:07:06 PM,2015-12-21, Quinn,Carter,2, (787) 367-5587,John,Lewis, john.lewis@demo.org, (255) 714-5661,Joseph,Lee,Youth Small,Youth Small
02/26/2025 04:07:06 PM,2012-12-01, Casey,Collins,7, (137) 620-6458,James,Ramirez, james.ramirez@test.net, (442) 810-4376,Robert,Ramirez,Youth Large,Youth Large
02/26/2025 04:07:06 PM,2013-05-09, Alex,Cooper,5, (775) 203-6644,Mary,Davis, mary.davis@example.com, (516) 149-9795,David,Jackson,Youth Medium,Youth Medium
02/26/2025 04:07:13 PM,2010-10-27, Cameron,Davis,1, (394) 844-6804,William,Ramirez, william.ramirez@test.net, (113) 824-1676,Robert,Davis,Youth Medium,Youth Medium
02/27/2025 12:52:50 PM,2013-10-18, Skyler,Edwards,6, (829) 310-9737,Daniel,Johnson, daniel.johnson@test.net, (463) 119-3456,Karen,Martin,Youth XLarge,Youth XL
02/27/2025 12:53:14 PM,2013-09-11, Devon,Evans,3, (674) 673-1492,Margaret,Martinez, margaret.martinez@example.com, (193) 969-2435,Thomas,Martin,Youth Medium,Youth Small
