Date,Order #,Receipt ID,User,Department,Product,Promo Code,G/L Account,Student Name,Student #,Student Type,School,Grade,Homeroom,Payment Method,Status,ACH Status,Comment,Payment on Account,Batch ID,Batch Date,Confirmed,Txn Source,Sales Tag,Reference,Other,Other 1,Other 2,Other 3,Other 4,Other 5,Other 6,Other 7,Other 8,Other 9,Other 10
08/29/2024 08:24:18 AM,44RFA88TT0U927F,JRP206AJBMIS371,"Rose, Brian",Athletics,CYO Basketball 24-25 Students-3rd to 8th grade,,,"Rose, Rowan",1001,student,UCS-Middle School,6,"Mrs. H, Rm. S34",School Store,Settled,settled,,50.00,7969772,09/09/2024 08:00:00 AM,,Website,,ZZ6031PV11SQ6V8,Date of Birth:2010-07-11,Grade Level:6,Parent/Guardian Name:Brian Rose,Parent Phone Number:(671)-192-8961,Parent Email:brian.rose@gmail.com,Emergency Contact (If parent can't be reached):Veronica Odom,Emergency Contact Phone Number:(134)-174-7864,Shirt Size:Youth Large,Short Size:Youth Large,I have read the Athletic Agreement:Yes,I have read the Athletic Uniform and Equipment agreement:Yes
08/29/2024 08:24:18 AM,44RFA88TT0U927F,JRP206AJBMIS371,"Bright, Michael",Athletics,CYO Basketball 24-25 Students-3rd to 8th grade,,,"Bright, Skyler",1002,student,UCS-Elementary,3,"Ms. B, Rm. S59",School Store,Settled,settled,,50.00,7969772,09/09/2024 08:00:00 AM,,Website,,ZZ6031PV11SQ6V8,Date of Birth:2014-11-29,Grade Level:3,Parent/Guardian Name:Michael Bright,Parent Phone Number:(211)-706-9661,Parent Email:michael.bright@yahoo.com,Emergency Contact (If parent can't be reached):David Johnson,Emergency Contact Phone Number:(589)-535-1213,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Athletic Uniform and Equipment agreement:Yes
09/03/2024 08:44:48 AM,S8ORCAVYSL5LOBU,1D0YCIEK2ODD41C,"Williams, Natalie",Athletics,CYO Basketball 24-25 Students-3rd to 8th grade,,,"Williams, Marley",1003,student,UCS-Middle School,6,"Mr. L, Rm. S2",School Store,Settled,,,50.00,552370497,09/04/2024 01:20:00 AM,,Website,,ZZ6031PV11SQ6V8,Date of Birth:2011-12-15,Grade Level:6,Parent/Guardian Name:Natalie Williams,Parent Phone Number:(259)-264-4555,Parent Email:natalie.williams@gmail.com,Emergency Contact (If parent can't be reached):Shawn Oconnor,Emergency Contact Phone Number:(957)-950-1103,Shirt Size:Adult Medium,Short Size:Adult Medium,I have read the Athletic Agreement:Yes,I have read the Athletic Uniform and Equipment agreement:Yes
09/05/2024 11:17:16 AM,6B0ZLJ860W8XQXR,YCBE51HM5G7U5UX,"Irwin, Barbara",Athletics,CYO Basketball 24-25 Students-3rd to 8th grade,,,"Irwin, River",1004,student,UCS-Middle School,8,"Mrs. A, Rm. S45",School Store,Settled,settled,,50.00,7994537,09/13/2024 08:00:00 AM,,Website,,ZZ6031PV11SQ6V8,Date of Birth:2011-07-13,Grade Level:8,Parent/Guardian Name:Barbara Irwin,Parent Phone Number:(517)-629-3505,Parent Email:barbara.irwin@yahoo.com,Emergency Contact (If parent can't be reached):Juan Davis,Emergency Contact Phone Number:(345)-804-8076,Shirt Size:Adult Medium,Short Size:Adult Medium,I have read the Athletic Agreement:Yes,I have read the Athletic Uniform and Equipment agreement:Yes
09/05/2024 11:17:25 AM,9IO4I9WM0O4PN5K,6KKPG7Q4YQAD8YX,"Taylor, James",Athletics,CYO Basketball 24-25 Students-3rd to 8th grade,,,"Taylor, Lennon",1005,student,UCS-Middle School,6,"Mr. G, Rm. S8",School Store,Settled,,,50.00,553168565,09/06/2024 12:56:00 AM,,Website,,ZZ6031PV11SQ6V8,Date of Birth:2012-07-22,Grade Level:6,Parent/Guardian Name:James Taylor,Parent Phone Number:(533)-907-4631,Parent Email:james.taylor@hotmail.com,Emergency Contact (If parent can't be reached):Ashley White,Emergency Contact Phone Number:(600)-306-3851,Shirt Size:Youth Large,Short Size:Youth Large,I have read the Athletic Agreement:Yes,I have read the Athletic Uniform and Equipment agreement:Yes
09/06/2024 02:28:58 PM,35DC165BM97MA62,C6MFHHFIQ1JSAU9,"Hardy, Teresa",Athletics,CYO Basketball 24-25 Students-3rd to 8th grade,,,"Hardy, Tatum",1006,student,UCS-Elementary,4,"Ms. L, Rm. S56",School Store,Settled,,,50.00,553568191,09/07/2024 12:53:00 AM,,Website,,ZZ6031PV11SQ6V8,Date of Birth:2011-07-31,Grade Level:4,Parent/Guardian Name:Teresa Hardy,Parent Phone Number:(809)-451-2357,Parent Email:teresa.hardy@hotmail.com,Emergency Contact (If parent can't be reached):Ryan Adams,Emergency Contact Phone Number:(947)-800-5132,Shirt Size:Adult Medium,Short Size:Adult Medium,I have read the Athletic Agreement:Yes,I have read the Athletic Uniform and Equipment agreement:Yes
09/10/2024 03:31:32 PM,MBEN7K7HA2CG8L2,ASJI675FCBCVP5H,"Davis, Dean",Athletics,CYO Basketball 24-25 Students-3rd to 8th grade,,,"Davis, Morgan",1007,student,UCS-Middle School,7,"Mr. H, Rm. S26",School Store,Settled,,,50.00,555120950,09/11/2024 12:55:00 AM,,Website,,ZZ6031PV11SQ6V8,Date of Birth:2011-01-24,Grade Level:7,Parent/Guardian Name:Dean Davis,Parent Phone Number:(661)-619-7948,Parent Email:dean.davis@hotmail.com,Emergency Contact (If parent can't be reached):Mitchell Townsend,Emergency Contact Phone Number:(425)-463-2090,Shirt Size:Adult Small,Short Size:Adult Small,I have read the Athletic Agreement:Yes,I have read the Athletic Uniform and Equipment agreement:Yes
09/11/2024 01:32:08 PM,DTB1XJCJOBEVU7U,4UTE06ZRQP7YYKT,"Higgins, Kevin",Athletics,CYO Basketball 24-25 Students-3rd to 8th grade,,,"Higgins, Riley",1008,student,UCS-Elementary,5,"Mrs. N, Rm. S54",School Store,Settled,,,50.00,555285380,09/12/2024 12:54:00 AM,,Website,,ZZ6031PV11SQ6V8,Date of Birth:2013-04-23,Grade Level:5,Parent/Guardian Name:Kevin Higgins,Parent Phone Number:(374)-965-9762,Parent Email:kevin.higgins@gmail.com,Emergency Contact (If parent can't be reached):Stacey Moore,Emergency Contact Phone Number:(360)-554-5317,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Athletic Uniform and Equipment agreement:Yes
09/11/2024 01:32:08 PM,DTB1XJCJOBEVU7U,4UTE06ZRQP7YYKT,"Bradshaw, Nicholas",Athletics,CYO Basketball 24-25 Students-3rd to 8th grade,,,"Bradshaw, Dakota",1009,student,UCS-Elementary,3,"Ms. B, Rm. S59",School Store,Settled,,,50.00,555285380,09/12/2024 12:54:00 AM,,Website,,ZZ6031PV11SQ6V8,Date of Birth:2014-09-07,Grade Level:3,Parent/Guardian Name:Nicholas Bradshaw,Parent Phone Number:(276)-998-8845,Parent Email:nicholas.bradshaw@yahoo.com,Emergency Contact (If parent can't be reached):Jennifer West,Emergency Contact Phone Number:(542)-444-4403,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Athletic Uniform and Equipment agreement:Yes
09/12/2024 09:46:11 AM,LQ5G2VZ25K7NGSA,PNU72Q1XRIM7RFU,"Flowers, Zachary",Athletics,CYO Basketball 24-25 Students-3rd to 8th grade,,,"Flowers, Morgan",1010,student,UCS-Elementary,4,"Mrs. O, Rm. S51",School Store,Settled,,,50.00,555672138,09/13/2024 12:54:00 AM,,Website,,ZZ6031PV11SQ6V8,Date of Birth:2011-03-07,Grade Level:4,Parent/Guardian Name:Zachary Flowers,Parent Phone Number:(699)-233-3978,Parent Email:zachary.flowers@hotmail.com,Emergency Contact (If parent can't be reached):Terri Mckenzie,Emergency Contact Phone Number:(167)-809-8152,Shirt Size:Youth Large,Short Size:Youth Large,I have read the Athletic Agreement:Yes,I have read the Athletic Uniform and Equipment agreement:Yes
