Date,Product,Student Name,Other,Other 1,Other 2,Other 3,Other 4,Other 5,Other 6,Other 7,Other 8,Other 9,Other 10
02/21/2025 11:13:50 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Adams, Riley",Date of Birth:2013-04-29,Grade Level:5,Parent/Guardian Name:Jessica Clark,Parent Phone Number: (361) 889-8429,Parent Email: jessica.clark@mail.com,Emergency Contact (If parent can't be reached):Donald Martinez,Emergency Contact Phone Number: (140) 685-5223,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/21/2025 11:15:00 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Bailey, Jordan",Date of Birth:2010-01-12,Grade Level:3,Parent/Guardian Name:Patricia White,Parent Phone Number: (911) 500-9414,Parent Email: patricia.white@mail.com,Emergency Contact (If parent can't be reached):Sarah Jackson,Emergency Contact Phone Number: (909) 202-9067,Shirt Size:Adult Medium,Short Size:Adult Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:No
02/24/2025 10:50:27 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Bennett, Avery",Date of Birth:2012-01-16,Grade Level:7,Parent/Guardian Name:George Gonzalez,Parent Phone Number: (990) 955-3049,Parent Email: george.gonzalez@example.com,Emergency Contact (If parent can't be reached):Barbara Anderson,Emergency Contact Phone Number: (836) 720-2014,Shirt Size:Youth Large,Short Size:Youth Large,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/25/2025 09:39:49 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Brooks, Taylor",Date of Birth:2010-09-27,Grade Level:3,Parent/Guardian Name:Mary Garcia,Parent Phone Number: (668) 743-3891,Parent Email: mary.garcia@example.com,Emergency Contact (If parent can't be reached):Daniel Hernandez,Emergency Contact Phone Number: (729) 258-3766,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/25/2025 09:39:56 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Campbell, Morgan",Date of Birth:2012-12-16,Grade Level:2,Parent/Guardian Name:John Anderson,Parent Phone Number: (332) 723-2461,Parent Email: john.anderson@mail.com,Emergency Contact (If parent can't be reached):Dorothy Brown,Emergency Contact Phone Number: (935) 395-1762,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/26/2025 04:07:06 PM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Carter, Quinn",Date of Birth:2015-12-21,Grade Level:2,Parent/Guardian Name:John Lewis,Parent Phone Number: (787) 367-5587,Parent Email: john.lewis@demo.org,Emergency Contact (If parent can't be reached):Joseph Lee,Emergency Contact Phone Number: (255) 714-5661,Shirt Size:Youth Small,Short Size:Youth Small,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/26/2025 04:07:06 PM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Collins, Casey",Date of Birth:2012-12-01,Grade Level:7,Parent/Guardian Name:James Ramirez,Parent Phone Number: (137) 620-6458,Parent Email: james.ramirez@test.net,Emergency Contact (If parent can't be reached):Robert Ramirez,Emergency Contact Phone Number: (442) 810-4376,Shirt Size:Youth Large,Short Size:Youth Large,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/26/2025 04:07:06 PM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Cooper, Alex",Date of Birth:2013-05-09,Grade Level:5,Parent/Guardian Name:Mary Davis,Parent Phone Number: (775) 203-6644,Parent Email: mary.davis@example.com,Emergency Contact (If parent can't be reached):David Jackson,Emergency Contact Phone Number: (516) 149-9795,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/26/2025 04:07:13 PM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Davis, Cameron",Date of Birth:2010-10-27,Grade Level:1,Parent/Guardian Name:William Ramirez,Parent Phone Number: (394) 844-6804,Parent Email: william.ramirez@test.net,Emergency Contact (If parent can't be reached):Robert Davis,Emergency Contact Phone Number: (113) 824-1676,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/27/2025 12:52:50 PM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Edwards, Skyler",Date of Birth:2013-10-18,Grade Level:6,Parent/Guardian Name:Daniel Johnson,Parent Phone Number: (829) 310-9737,Parent Email: daniel.johnson@test.net,Emergency Contact (If parent can't be reached):Karen Martin,Emergency Contact Phone Number: (463) 119-3456,Shirt Size:Youth XLarge,Short Size:Youth XL,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
